First,Last,birthyear,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Rolando,Dy,1990,3.04,37%,4.47,52%,0.3,20%,68%,0
Matt,Dwyer,1989,2.57,34%,3.24,54%,0.44,10%,60%,0
David,Dvorak,1992,3.48,43%,3.29,59%,0.58,30%,70%,0.2
Merab,Dvalishvili,1991,4.46,41%,2.41,56%,6.55,36%,78%,0.3
Bill,Duvall,,0,0%,2.4,40%,0,0%,0%,0
Rilley,Dutro,1987,4.74,54%,5.95,33%,0,0%,83%,0
Luiz,Dutra,1982,3.92,50%,4.8,41%,0,0%,100%,0
Cody,Durden,1991,3.13,49%,2.94,52%,5.41,50%,80%,0.4
Reuben,Duran,1983,3.19,49%,2.61,50%,0.98,23%,25%,0.7
Albert,Duraev,1989,2.99,40%,3.01,59%,1.97,29%,66%,0.6
Tom,Duquesnoy,1993,3.83,45%,5.3,62%,0.42,25%,46%,0
Alex,Dunworth,,1.94,31%,8.71,35%,0,0%,50%,0
Evan,Dunham,1981,5.33,39%,3.54,61%,1.82,33%,79%,1
Christian Leroy,Duncan,1995,5.06,59%,4.68,47%,0,0%,50%,0
Chris,Duncan,1993,5.08,46%,3.74,49%,3.63,39%,100%,0
Norma,Dumont,1990,3.41,49%,1.99,66%,1.39,64%,72%,0
Sedriques,Dumas,1995,1.88,49%,2.01,56%,0.77,50%,40%,0.4
Kelly,Dullanty,1977,0,0%,0.67,75%,0,0%,66%,0
Isaac,Dulgarian,1996,7.29,66%,0.42,71%,3.13,100%,0%,0
Jessamyn,Duke,1986,4.83,53%,4.43,57%,1.27,36%,50%,1.9
Alexis,Dufresne,1990,1.33,27%,3.33,60%,1.5,50%,50%,0
Joe,Duffy,1988,2.68,34%,3.78,54%,0.96,66%,64%,0.7
Todd,Duffee,1985,5.93,37%,2.87,56%,0.72,25%,90%,0
Adin,Duenas,1988,0,0%,0,0%,0,0%,0%,0
Milana,Dudieva,1989,0.87,31%,3.43,58%,2.34,45%,0%,0
Viktoriia,Dudakova,1999,3.14,52%,2.45,50%,2.45,41%,50%,0
Emily,Ducote,1994,6.93,48%,7.98,56%,0.25,14%,92%,0
Joe,Duarte,1977,2.27,38%,4,53%,3,50%,69%,1
Antonio,Duarte,,4.55,40%,4.18,57%,0,0%,60%,0
Hugo,Duarte,1968,0,0%,0,0%,0,0%,0%,0
Dricus,Plessis,1994,6.95,55%,3.79,53%,2.72,50%,40%,1.1
Robert,Drysdale,1981,0,0%,0,0%,7.32,100%,0%,21.9
Tomasz,Drwal,1982,3.29,38%,2.26,57%,3.55,60%,82%,0.4
Chris,Drumm,,0,0%,0,0%,0,0%,0%,0
Kyle,Driscoll,1994,2.73,32%,2.6,58%,2,18%,0%,0
Edson,Drago,1977,1.16,40%,2.39,36%,0,0%,55%,0
John,Doyle,1976,3.5,44%,10.51,27%,0,0%,0%,0
Derek,Downey,1980,0.32,100%,3.36,12%,2.4,16%,0%,0
Danny,Downes,1986,1.66,34%,3.53,37%,0,0%,37%,0.5
Jordan,Dowdy,,2.11,44%,2.63,50%,0,0%,0%,0
John,Dowdy,,0,0%,0,0%,0,0%,0%,0
Cedric,Doumbe,1992,0,0%,0,0%,0,0%,0%,0
Damion,Douglas,,0,0%,0,0%,0,0%,0%,0
David,Douglas,1981,0,0%,0,0%,0,0%,0%,0
Oleksandr,Doskalchuk,1990,0,0%,0,0%,0,0%,0%,0
Tiago,Silva,1987,3.69,35%,4.23,59%,0.63,11%,33%,0.3
Felipe,Santos,2000,6.6,32%,7.47,38%,0,0%,0%,0
Acacio,Santos,1991,1.27,41%,1.4,43%,0,0%,31%,0
Anderson,Santos,1985,2.7,25%,5.37,49%,0.98,14%,66%,0.7
Antonio,Santos,1988,5.4,51%,3.94,43%,0,0%,100%,0
Geronimo,Santos,1980,1.09,33%,8.73,41%,0,0%,33%,0
Junior,Santos,1984,4.49,47%,3.33,56%,0.3,50%,81%,0.1
Rafael,Anjos,1984,3.52,47%,3.19,60%,2.01,35%,56%,0.6
Houston,Dorr,,0,0%,0,0%,0,0%,0%,0
Cody,Donovan,1981,5.61,59%,5.44,45%,1.67,28%,0%,1.7
John,Donaldson,1992,1.21,23%,4.22,51%,0,0%,0%,0
OJ,Dominguez,,0,0%,0,0%,0,0%,0%,0
Dennis,Dombrow,1986,0,0%,0,0%,0,0%,0%,0
CB,Dollaway,1983,2.65,47%,2.58,54%,3.55,54%,62%,1.2
Cameron,Dollar,1987,5.04,38%,2.94,61%,0,0%,0%,0
Roman,Dolidze,1988,3.02,44%,3.01,55%,1.72,50%,33%,1.7
Mike,Dolce,1976,0,0%,0,0%,0,0%,0%,0
Joe,Doerksen,1977,1.43,42%,2.79,50%,2.02,33%,33%,2.3
John,Dodson,1984,3.2,40%,3.58,61%,0.71,28%,82%,0
David,Dodd,1973,0,0%,0,0%,0,0%,0%,0
AJ,Dobson,1992,4.38,47%,5.25,47%,1.82,75%,64%,0.3
Shana,Dobson,1989,3.34,37%,5.2,50%,0.84,50%,14%,0
Drew,Dober,1988,4.58,40%,4.46,51%,0.68,17%,56%,0.1
Russell,Doane,1986,1.75,40%,1.68,53%,2.11,45%,52%,0.8
Anthony,Do,,0,0%,0,0%,0,0%,0%,0
John,Dixson,,0,0%,0,0%,0,0%,0%,0
Melissa,Dixon,1991,3.47,54%,3.2,55%,0,0%,75%,0
Matt,Dixon,1995,1.97,43%,4.56,37%,3.06,30%,0%,0
Rico,DiSciullo,1986,1.71,33%,4.41,56%,0,0%,0%,0
Helio,Dipp,,0.6,25%,1.8,62%,0,0%,50%,0
Jhonata,Diniz,1991,7.69,42%,7.38,36%,0,0%,100%,0
Rodolfo Marques,Diniz,1984,1.08,32%,2.36,33%,0,0%,50%,1.8
Drew,Dimanlig,,3.7,73%,3.17,20%,0,0%,0%,0
Ralph,Dillon,,0.34,14%,0.69,60%,0,0%,0%,0
TJ,Dillashaw,1986,5.09,41%,3.47,62%,1.56,30%,77%,0.8
Seth,Dikun,1980,1.45,26%,2.18,55%,0,0%,45%,0.9
Kyle,Dietz,1986,1.82,45%,2.08,62%,0,0%,0%,0
Josh,Diekmann,1976,0.28,5%,8.17,25%,0,0%,0%,0
Mark,Dickman,1984,0,0%,0,0%,0,0%,0%,0
Ozzy,Diaz,1990,1.65,32%,3.91,44%,0,0%,0%,0
Adrian,Diaz,1988,0.48,42%,3.84,51%,2.4,50%,0%,0
Ryan,Diaz,,0,0%,0,0%,0,0%,0%,0
Michael,Diaz,,0,0%,0,0%,0,0%,0%,0
Nate,Diaz,1985,4.57,45%,3.77,52%,1.05,30%,41%,1.3
Nick,Diaz,1983,5.71,42%,3.84,59%,1.28,32%,60%,1
Victor,Dias,1990,2.87,44%,5.8,55%,5,41%,0%,0
Hacran,Dias,1984,2.08,41%,3.31,55%,2.5,39%,76%,0.5
Rafael,Dias,1979,1.13,27%,2.19,60%,3.17,47%,100%,1.2
Eldo Xavier,Dias,1964,0,0%,0,0%,0,0%,0%,0
Blood,Diamond,1988,3.12,55%,2.17,48%,0,0%,73%,0
Tyler,Diamond,1991,3.4,47%,2.53,44%,3,75%,70%,0
Marc,Diakiese,1993,2.54,40%,2.64,52%,3.29,43%,66%,0
Thomas,Diagne,1983,4.53,48%,4.53,63%,2,100%,66%,0
Cyrille,Diabate,1973,4.06,71%,1.78,60%,1.17,83%,53%,0.2
Micol,Segni,1987,7.47,40%,5.87,33%,0,0%,37%,0
Alessio,Chirico,1989,3.32,39%,3.44,61%,1.46,39%,83%,0
Edwin,DeWees,1982,1.53,33%,6.19,39%,2.18,66%,0%,3.3
John,Devine,,1.52,18%,2.28,57%,0,0%,0%,0
Cory,Devela,,4.07,41%,4,47%,1.07,12%,62%,0
Tony,DeSouza,1974,1.12,52%,1.57,41%,2.25,42%,40%,1.5
Booker,DeRousse,1981,0,0%,0,0%,0,0%,0%,0
Mackenzie,Dern,1993,3.49,40%,4.21,51%,0.77,14%,40%,1.4
Jason,Dent,1980,2.01,39%,3.7,62%,0,0%,26%,1.4
Robert,Densley,,1.81,47%,0.4,60%,0,0%,50%,0
Thomas,Denny,1971,2.36,45%,4.69,40%,1.48,17%,42%,1.5
Nick,Denis,1983,6.54,53%,5.42,36%,2.8,100%,80%,0
Chris,Dempsey,1987,2.25,32%,2.82,65%,2.64,23%,16%,0
Vanessa,Demopoulos,1988,3.44,43%,5.06,43%,0.49,13%,30%,0.7
Justin,DeMoney,1985,0,0%,0,0%,0,0%,0%,0
Jason,DeLucia,1969,0,0%,0,0%,0,0%,0%,0
Jon,Reyes,1987,2.99,38%,4.14,51%,3.2,83%,55%,1.9
Roland,Delorme,1983,2.28,44%,4.32,40%,2.51,34%,42%,1.6
Jack,Maddalena,1996,7.2,53%,4.83,67%,0.27,20%,82%,0.3
Ante,Delija,1990,0,0%,0,0%,0,0%,0%,0
Israel,Delgado,,0,0%,0,0%,0,0%,0%,0
Rolando,Delgado,1981,1.56,40%,1.83,62%,1.17,22%,0%,3.5
Humberto,DeLeon,1989,0,0%,0,0%,0,0%,0%,0
Wallen,Rosario,1993,1.4,32%,4.73,40%,1,16%,100%,0
Shane,Rosario,1983,3.93,60%,2.97,54%,1.2,40%,16%,2.4
Rafael,Real,,5.58,40%,0,0%,20.93,100%,100%,0
Issac,DeJesus,,0,0%,0,0%,0,0%,0%,0
Tom,DeBlass,1982,1.5,35%,4.43,37%,1,50%,28%,0.5
Carl,Deaton,1989,1.53,31%,1.85,61%,0,0%,50%,0
Crezio,Souza,,0,0%,0,0%,0,0%,0%,0
Germaine,Randamie,1984,2.72,46%,2.14,65%,0,0%,69%,0.4
Gloria,Paula,1995,4.89,53%,3.77,66%,0.74,37%,65%,0.5
Isabela,Padua,1991,1,35%,2.07,50%,2,66%,0%,1
Jorge,Oliveira,1980,1.26,31%,4.84,48%,0,0%,22%,0
Johil,Oliveira,,0.51,34%,0.73,58%,1.1,50%,44%,0.6
Edilberto,Oliveira,1982,4.12,32%,6.79,61%,0,0%,0%,0
Rodrigo,Lima,1991,1.29,33%,5.5,32%,2.66,36%,0%,1.3
Mike,Torre,1986,3.21,39%,4.75,51%,0.36,16%,83%,0
Mark,Rosa,1994,3.13,35%,5,48%,0.54,13%,40%,0.2
Montana,Rosa,1995,2.7,36%,3.21,44%,1.71,31%,64%,0.8
Chris,Rocha,1979,4.08,45%,6.37,43%,2.02,30%,33%,1
Philip,Fries,1986,2.3,47%,3,37%,3.29,42%,100%,0.6
Geraldo,Freitas,1991,3.67,52%,2.62,50%,3,45%,59%,0
Yorgan,Castro,1986,2.46,43%,3.85,53%,0,0%,77%,0
Angel,Anda,1985,5.68,46%,6.32,47%,0,0%,0%,0
Martin,Day,1988,3.97,45%,3.79,53%,0.72,60%,65%,0.5
Jason,Day,1981,3.61,54%,3.46,47%,1.13,100%,0%,0
Grant,Dawson,1994,2.97,51%,2.27,45%,3.68,36%,40%,1.5
Hakeem,Dawodu,1991,5.45,50%,3.37,56%,0,0%,65%,0
Mike,Davis,1992,5.83,52%,6.2,56%,3.04,53%,69%,0.2
Brandon,Davis,1990,4.68,35%,4.62,58%,0.74,42%,57%,0.1
Danny,Davis,1982,0,0%,0,0%,0,0%,0%,0
Alexis,Davis,1984,4.63,49%,4.45,54%,0.95,44%,34%,0.7
Justin,Davis,1983,0,0%,0,0%,0,0%,0%,0
Mike,Davis,,0,0%,0,0%,0,0%,0%,0
Lemont,Davis,,0.87,54%,1.27,55%,1,50%,0%,1
Phil,Davis,1984,2.85,34%,1.33,72%,2.99,38%,72%,0.6
LC,Davis,1980,2.04,30%,2.1,59%,2.27,46%,66%,0.2
Marcus,Davis,1973,2.72,39%,2.79,65%,1.6,48%,47%,1.4
Rick,Davis,,3.09,50%,6.19,64%,0,0%,0%,0
Brian,Davidson,,0,0%,0,0%,0,0%,0%,0
Chris,Daukaus,1989,6.05,50%,4.64,55%,0,0%,100%,0
Kyle,Daukaus,1993,3.22,52%,2.94,42%,2.12,25%,82%,1.9
Sean,Daugherty,1975,0,0%,0,0%,0,0%,0%,0
Beneil,Dariush,1989,3.79,49%,2.63,58%,1.91,34%,80%,0.9
Karen,Darabedyan,1986,3.43,51%,2.62,67%,2.14,75%,0%,0
Mac,Danzig,1980,3.39,48%,3.44,57%,1.2,37%,46%,0.6
Eduardo,Dantas,1989,3.33,60%,3,60%,4,23%,100%,0
Alexandre,Dantas,1979,0.21,25%,1.87,60%,0,0%,0%,3.1
Marques,Daniels,,0,0%,0,0%,0,0%,0%,0
Raymond,Daniels,,0,0%,2.61,38%,0,0%,33%,3
Jarjis,Danho,1983,3.38,50%,5.25,49%,0.51,16%,100%,0
Peter,Danesoe,2000,4.98,54%,7.02,37%,0,0%,62%,0
Cindy,Dandois,1984,3.13,32%,3.4,58%,5,55%,0%,0
Batgerel,Danaa,1989,5.38,36%,4.21,47%,0.52,50%,62%,0
Carina,Damm,,0,0%,0,0%,0,0%,0%,0
Rodrigo,Damm,1980,3.5,36%,5.61,57%,0.44,16%,80%,0.3
Leonardo,Damiani,1990,1.67,23%,4.17,37%,0,0%,50%,0
Marko,Damiani,,0,0%,0,0%,0,0%,0%,0
Aisling,Daly,1987,2.92,52%,1.4,55%,2.15,41%,33%,0.9
Richard,Dalton,,1.2,69%,3.27,25%,1,11%,0%,0
Dave,Dalgliesh,1978,0,0%,1.85,50%,0,0%,0%,0
Paul,Daley,1983,3.14,47%,2.37,60%,0.91,40%,64%,0
Nicolas,Dalby,1984,4.03,43%,3.43,52%,1.11,30%,60%,0.1
Daermisi,Zhawupasi,2000,1.24,51%,2.75,34%,6.19,75%,64%,2.1
Henrique,Lopes,1985,0,0%,0,0%,0,0%,0%,0
Igor,Silva,2003,9.85,55%,4.86,47%,9.85,100%,0%,0
Alex,Silva,1996,2.14,46%,2.52,56%,1.97,43%,76%,0.3
Henrique,Silva,1989,3.89,60%,5.28,40%,0.25,14%,22%,0.2
Marcos,Matta,1973,0,0%,0,0%,0,0%,0%,0
Sarah,alelio,1980,2.4,33%,0,100%,0,0%,100%,0
Gleidson,Cutis,1989,2.99,52%,8.28,59%,0,0%,0%,0
Ion,Cutelaba,1993,4.63,43%,3.29,48%,4.75,58%,77%,0
Chris,Curtis,1987,5.36,50%,6.3,54%,0,0%,92%,0
Pat,Curran,1987,4.7,58%,4.4,63%,2.5,62%,66%,0
Kailin,Curran,1991,3.89,43%,4.75,53%,2,57%,61%,0.6
Jeff,Curran,1977,1.54,31%,2.48,60%,0.35,12%,35%,1.2
Larry,Cureton,,0,0%,0,0%,0,0%,0%,0
Santo,Curatolo,1995,1.4,39%,6.07,34%,2,33%,100%,0
AJ,Cunningham,1994,7.58,24%,11.32,54%,0,0%,0%,0
Alton,Cunningham,1993,3.33,75%,4.94,20%,1.67,10%,100%,0
Hugo,Cunha,1993,0,0%,0,0%,0,0%,0%,0
Luke,Cummo,1980,1.74,43%,1.5,59%,0.89,55%,42%,1.4
Patrick,Cummins,1980,4.26,50%,3.35,55%,4.49,41%,28%,0.1
Everett,Cummings,,0.43,60%,4.34,45%,0,0%,0%,2.2
Zak,Cummings,1984,2.96,35%,2.91,55%,0.62,28%,66%,0.6
Abel,Cullum,1987,1.82,40%,1.23,46%,4.01,52%,0%,2.8
Chris,Culley,1986,0,0%,0,0%,0,0%,0%,0
Josh,Culibao,1994,2.68,42%,3.29,56%,0,0%,72%,0.4
Emilio,Cuellar,,0,0%,0,0%,0,0%,0%,0
Jay,Cucciniello,1986,0.93,21%,4.73,36%,0,0%,71%,0
Timothy,Cuamba,1999,2.87,34%,4.47,53%,0,0%,83%,0
Aalon,Cruz,1989,7.58,39%,8.88,58%,0,0%,0%,0
Dominick,Cruz,1985,3.91,33%,2.61,70%,2.82,42%,83%,0.1
Marcio,Cruz,1978,2.92,46%,1.51,68%,0.53,7%,37%,1.6
Jimmy,Crute,1996,3.68,54%,3.04,44%,4.84,57%,60%,2
Richard,Crunkilton,1979,1.72,41%,1.45,58%,4.08,61%,65%,1.3
Daron,Cruickshank,1985,2.88,38%,2.98,57%,2.04,41%,60%,0.2
Allen,Crowder,1989,2.95,51%,2.95,56%,1.85,33%,100%,1.2
Jeff,Crotty,,0.93,35%,3.33,54%,5,38%,0%,1
Ken,Cross,1994,2.2,57%,1.4,55%,1,12%,66%,0
Kiefer,Crosbie,1990,8.1,66%,6.02,50%,0,0%,0%,0
Kevin,Croom,1987,2.65,34%,3.1,41%,0.48,5%,30%,0.5
Alex,Crispin,,0,0%,0,0%,0,0%,0%,0
Alexander,Crispim,,0,0%,0,0%,0,0%,0%,0
Helena,Crevar,,0,0%,0,0%,0,0%,0%,0
Paul,Creighton,1970,0.72,75%,4.65,30%,5.37,37%,0%,0
Tim,Credeur,1977,3.59,30%,3.13,57%,0.41,100%,50%,3.3
Alberto,Crane,1976,0.43,25%,2.61,57%,0,0%,50%,4
Dan,Cramer,1985,0.97,30%,2.1,31%,0,0%,66%,0.5
Paul,Craig,1987,2.42,46%,2.86,45%,1.76,22%,37%,1.6
Andrew,Craig,1986,2.39,40%,3.01,50%,0.53,37%,72%,0
Nathan,Coy,1978,3.88,52%,2.4,61%,3.17,47%,50%,0
Jeff,Cox,1968,0.56,25%,1.69,33%,4.23,50%,80%,0
Hailey,Cowan,1992,2.97,42%,3.17,34%,1.5,33%,80%,0
Colby,Covington,1988,4.1,39%,3.05,55%,4.05,45%,72%,0.2
Nikk,Covert,1969,0,0%,0,0%,0,0%,0%,0
Ryan,Couture,1982,3.54,45%,2.87,54%,1.55,29%,46%,1.3
Kim,Couture,1975,12.12,80%,2.31,69%,0,0%,0%,0
Randy,Couture,1963,2.85,57%,1.53,59%,2.78,46%,58%,0.5
Dave,Courchaine,,0,0%,0,0%,0,0%,0%,0
Rashad,Coulter,1981,4.82,56%,6.68,50%,0,0%,62%,0
JR,Coughran,1994,12.29,57%,6.8,45%,0,0%,75%,0
JC,Cottrell,1989,0.79,25%,2.75,45%,0.79,100%,50%,0
Patrick,Cote,1980,2.81,48%,3.21,48%,0.68,20%,43%,0.2
Oscar,Cota,1984,0.33,41%,2.47,41%,0,0%,60%,1
Melquizael,Costa,1996,5.11,45%,2.53,64%,1.87,37%,42%,0.6
Alessandro,Costa,1996,3.75,46%,3.61,56%,0.31,16%,90%,0
Randy,Costa,1994,6.53,46%,7.58,58%,0,0%,50%,0
Paulo,Costa,1991,6.5,60%,6.38,47%,0.53,75%,79%,0
Guilherme,Costa,,0,0%,0,0%,0,0%,0%,0
Jadson,Costa,,0.2,50%,3.05,50%,0,0%,0%,0
Miguel,Cosio,,0,0%,0,0%,0,0%,0%,0
Orion,Cosce,1994,2.77,53%,4.02,44%,1.92,40%,61%,0
Louis,Cosce,1995,4.31,45%,5.35,47%,1.04,20%,50%,0.5
Chad,Corvin,,0,0%,0,0%,0,0%,0%,0
Reyes,,1992,4.1,45%,7.43,52%,1.5,11%,100%,0
Tracy,Cortez,1993,4.11,53%,2.79,60%,2.33,46%,75%,0.3
Waldo,Acosta,1991,6.97,50%,4.06,52%,0,0%,60%,0
Wesley,Correira,1978,2.6,36%,8.8,40%,0,0%,90%,0
Bethe,Correia,1983,4.37,43%,4.93,56%,0.39,18%,85%,0
Henry,Corrales,,4.12,41%,5.84,55%,0,0%,69%,0
Clint,Coronel,,4.93,32%,5.6,66%,0,0%,66%,0
Nora,Cornolle,1989,2.67,51%,1.2,57%,0,0%,37%,0
Daniel,Cormier,1979,4.25,52%,2.92,54%,1.83,44%,80%,0.4
Muhsin,Corbbrey,1978,2.02,34%,5.41,53%,0,0%,80%,0.4
Akira,Corassani,1982,3.25,45%,4.91,50%,0.7,28%,86%,0
Michael,Cora,1989,0.8,28%,0.13,66%,0,0%,25%,0
Josh,Copeland,1982,1.03,31%,3.01,55%,0,0%,57%,0
Chris,Cope,1983,3.96,26%,4.82,50%,0,0%,80%,0
Kit,Cope,1977,1.18,52%,2.12,35%,0,0%,50%,3.5
Amanda,Cooper,1991,3.55,44%,3.2,51%,1.53,38%,28%,1.8
Bobby,Cooper,,2.87,25%,3.4,59%,0,0%,40%,1
Bill,Cooper,1984,0,0%,0,0%,0,0%,0%,0
Brett,Cooper,1987,0,0%,0,0%,0,0%,0%,0
Dewey,Cooper,,0,0%,0,0%,0,0%,0%,0
TJ,Cook,1982,2.3,47%,3.18,54%,1.01,50%,0%,0
Chad,Cook,1979,0,0%,0,0%,0,0%,0%,0
Mike,Cook,,1.72,49%,2.4,46%,1.03,33%,55%,2.1
Bob,Cook,,0,0%,0,0%,0,0%,0%,0
Jonathan,Contrestano,,0,0%,0,0%,0,0%,0%,0
Jeremiah,Constant,1974,1.5,75%,3.25,43%,0,0%,0%,7.5
Marcos,,1982,1.6,34%,9.69,35%,1.84,14%,0%,0
Tristan,Connelly,1985,3.31,51%,2.96,50%,0.33,14%,60%,0.3
Chris,Condo,,0,0%,0,0%,0,0%,0%,0
Carlos,Condit,1984,3.66,39%,2.67,55%,0.59,46%,38%,1
Wes,Combs,1973,2.14,48%,4.73,45%,0,0%,0%,0
Willian,Colorado,1986,0,0%,0,0%,0,0%,0%,0
Christian,Colombo,1980,2.76,44%,4.02,42%,0,0%,33%,0
Jake,Collier,1988,5.8,44%,5.08,50%,0.71,33%,67%,0.6
Jamie,Colleen,1985,3.11,61%,5.66,33%,0.52,33%,50%,1.6
Clay,Collard,1993,4.22,32%,5,50%,2.81,39%,71%,0.5
Cortez,Coleman,1982,0,0%,0,0%,0,0%,0%,0
Mark,Coleman,1964,1.88,52%,2.62,40%,3.89,40%,50%,0.8
Chandler,Cole,1995,2.45,60%,3.59,26%,0,0%,0%,0
Ivan,Cole,1990,2.68,36%,4.69,46%,0,0%,0%,0
Coltin,Cole,1989,0,0%,0,0%,0,0%,0%,0
Devin,Cole,1976,3.5,55%,2.14,48%,2.18,42%,66%,0
Wayne,Cole,,0.57,20%,8.33,27%,4.31,25%,0%,4.3
Felipe,Colares,1994,2.17,45%,4.65,36%,1.88,24%,43%,0.5
Chris,Coggins,,0,0%,0,0%,0,0%,0%,0
John,Cofer,1984,2.73,41%,3.43,62%,1.22,50%,64%,0
Marc,Cofer,1972,0,0%,0,0%,0,0%,0%,0
Marloes,Coenen,1981,2.15,51%,1.9,67%,0.82,30%,41%,2.5
Dakota,Cochrane,1986,2.66,75%,2.66,30%,4.43,33%,0%,0
Dave,Cochran,1973,0,0%,0,0%,0,0%,0%,0
Darryl,Cobb,1980,0,0%,0,0%,0,0%,0%,0
Brian,Cobb,,0,0%,3.68,55%,5.81,50%,0%,0
Josh,Clopton,1981,1.6,64%,2.87,50%,2,66%,75%,0
Mark,Climaco,1997,4.13,59%,2.9,57%,3.5,36%,46%,0
RJ,Clifford,,0,0%,0,0%,0,0%,0%,0
Chris,Clements,1976,3.2,49%,2.37,44%,0,0%,32%,0.3
Rich,Clementi,1976,1.43,37%,2.29,60%,1.72,42%,25%,1.1
Mitch,Clarke,1985,2.35,34%,3.27,47%,0.64,15%,50%,0.4
John,Clarke,1977,0,0%,0,0%,0,0%,0%,0
Jessica-Rose,Clark,1987,3.73,51%,3.51,58%,1.66,42%,62%,0.3
Devin,Clark,1990,2.99,55%,2.95,43%,2.35,33%,60%,0.1
Heather,Clark,1980,3.69,49%,5.62,50%,0.33,4%,80%,0.3
Dominic,Clark,1985,0,0%,0,0%,0,0%,0%,0
Mychal,Clark,,5.8,56%,2.9,59%,0,0%,0%,0
Logan,Clark,1985,2.2,54%,1.49,53%,0.31,100%,30%,2.1
Laverne,Clark,1973,0,0%,0,0%,0,0%,0%,0
Johnny,Cisneros,1980,0,0%,0,0%,0,0%,0%,0
Misha,Cirkunov,1987,3.86,51%,3.06,57%,4.15,39%,76%,1.7
Nikolajus,Cilkinas,,0,0%,5.88,16%,0,0%,0%,0
Branko,Cikatic,1954,0,0%,0,0%,0,0%,0%,0
Hannah,Cifers,1992,4.99,44%,5.39,52%,0.26,100%,64%,0.3
Mike,Ciesnolevicz,1979,0.51,50%,4.62,57%,0,0%,20%,5.1
Steven,Ciaccio,,0,0%,0,0%,0,0%,0%,0
Cameron,Church,1990,4,40%,4.93,50%,0,0%,60%,1
Murad,Chunkaiev,,0.85,16%,3.41,66%,8.53,100%,0%,0
Anthony,Christodoulou,1987,2.19,26%,5.9,45%,0,0%,40%,0
Dan,Christison,1972,4.23,51%,3.88,54%,0,0%,37%,1.1
Joachim,Christensen,1978,3.78,41%,3.29,46%,0,0%,0%,0
Will,Chope,1990,4.43,27%,9.93,46%,0,0%,0%,0
Katlyn,Chookagian,1988,4.59,34%,4.41,63%,0.27,15%,54%,0.3
Ryo,Chonan,1976,2.57,43%,2.25,60%,0.61,41%,39%,0.3
John,Cholish,1983,2.65,49%,2.29,73%,1.82,31%,78%,0.4
SeungGuk,Choi,1996,2.69,42%,2.69,65%,1.02,27%,74%,0
SeungWoo,Choi,1992,3.48,38%,3.02,47%,0.87,54%,69%,0
Dooho,Choi,1991,4.74,53%,4.91,54%,0.29,20%,50%,0
Hong Man,Choi,1980,1.32,26%,1.46,36%,0.71,100%,84%,0
Mu Bae,Choi,1970,1.55,49%,3.65,44%,3.12,75%,60%,1
Sako,Chivitchian,1984,2.4,27%,4.8,46%,0,0%,100%,0
Khamzat,Chimaev,1994,5.72,58%,3.46,42%,3.99,46%,100%,2.7
Giga,Chikadze,1988,4.08,43%,3.44,62%,0.23,33%,69%,0.2
Michael,Chiesa,1987,1.87,40%,1.7,54%,3.33,50%,60%,1
Macy,Chiasson,1991,3.64,44%,2.61,46%,2.17,34%,64%,0.3
Mark,Cherico,1986,3.69,34%,7.37,56%,5.03,50%,0%,0
Ion,Cherdivara,,0,0%,0,0%,0,0%,0%,0
Fabio,Cherant,1994,1.35,40%,4.89,38%,0,0%,0%,0
Albert,Cheng,1985,1,41%,2.6,71%,0,0%,0%,0
Gabriel,Checco,1986,0,0%,0,0%,0,0%,0%,0
Danny,Chavez,1987,2.86,38%,3.83,50%,1.95,60%,87%,0
Emilio,Chavez,,2.73,48%,1.53,54%,3,50%,0%,0
Ernest,Chavez,1983,2.79,40%,3.89,59%,0.89,33%,50%,0
Morgan,Charriere,1995,6.75,53%,2.34,78%,0,0%,0%,0
Dan,Charles,1985,2.82,45%,3.51,44%,0,0%,31%,0
Joe,Charles,,0,0%,0,0%,0,0%,0%,0
Donnie,Chappell,,0,0%,0,0%,0,0%,0%,0
Chelsea,Chandler,1990,3.12,45%,3.06,42%,0.78,33%,33%,0
Michael,Chandler,1986,4.89,46%,4.58,46%,2.17,38%,71%,0.9
Alex,Chambers,1978,2.97,54%,5.1,50%,2.31,41%,53%,1
Ansar,Chalangov,1979,0.68,66%,1.69,54%,0,0%,0%,7.6
Edgar,Chairez,1996,2.6,48%,4.26,41%,0,0%,45%,1.3
Luan,Chagas,1993,4.16,47%,3.19,62%,0.32,12%,85%,0.3
Jared,Chaffee,1984,0,0%,0,0%,0,0%,0%,0
Donald,Cerrone,1983,4.41,46%,4.48,53%,1.16,33%,73%,1.2
Vinicius,Cenci,1995,2.9,48%,2.69,62%,1.61,50%,0%,0
Adam,Cella,1985,1.91,42%,2.61,51%,3.92,75%,50%,1.3
Henry,Cejudo,1987,3.93,47%,3.15,60%,2.07,34%,83%,0.2
Yosdenis,Cedeno,1985,1.64,29%,1.6,67%,0,0%,31%,0.3
Magnus,Cedenblad,1982,2.38,51%,3.02,40%,2.87,64%,66%,1
Jacqueline,Cavalcanti,1997,8.4,57%,2.6,84%,0,0%,100%,0
Rafael,Cavalcante,1980,2.71,53%,3.62,49%,0.6,40%,63%,0.1
Gesias,Cavalcante,1983,1.98,35%,3.11,51%,1.25,36%,66%,1.1
Luke,Caudillo,1980,1.97,28%,5.07,55%,0.44,20%,85%,0
Nick,Catone,1981,2.11,44%,2.32,63%,3.71,44%,83%,0.5
