First,Last,birthyear,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Vitor,Vianna,,3.1,30%,8.28,52%,0,0%,0%,0
Polyana,Viana,1992,3.19,41%,2.63,55%,0.93,33%,43%,2.1
Guilherme,Viana,,2.92,40%,2.72,59%,1.2,66%,77%,0
Hugo,Viana,1982,3.05,38%,3.2,57%,0.22,6%,50%,0
Marvin,Vettori,1993,4.56,45%,4.24,56%,1.66,45%,69%,0.5
Bryan,Vetell,1977,2.74,60%,2.13,41%,0,0%,0%,0
Renato,Verissimo,1973,0.92,48%,1.87,47%,1.46,30%,50%,2.5
CJ,Vergara,1991,6.01,57%,5.01,53%,0,0%,74%,0.2
Nikolay,Veretennikov,1989,3.47,65%,3.53,56%,0,0%,50%,0
Joe,Veres,1977,0,0%,5.55,27%,0,0%,0%,0
Ernie,Verdicia,,0,0%,0,0%,0,0%,0%,0
Isis,Verbeek,1995,3.13,43%,3.53,53%,0,0%,66%,0
Marlon,Vera,1992,4.37,50%,5.16,51%,0.58,39%,70%,0.9
Kerry,Vera,,0,0%,0,0%,0,0%,0%,0
Brandon,Vera,1977,3.03,56%,2.81,52%,0.7,53%,59%,0.2
Scott,Ventimiglia,1972,0,0%,0,0%,0,0%,0%,0
Jerrel,Venetiaan,1971,0.81,33%,1.51,67%,0,0%,60%,0
Luigi,Vendramini,1996,2.82,40%,3.82,57%,1.11,15%,100%,0.6
Karlos,Vemola,1985,1.67,44%,2.13,37%,1.93,25%,31%,1.7
Bojan,Velickovic,1988,2.18,34%,2.31,57%,0.67,25%,55%,0.5
David,Velasquez,,0,0%,0,0%,0,0%,0%,0
Cain,Velasquez,1982,6.37,57%,2.33,57%,5.13,45%,85%,0.4
Greg,Velasco,1993,0,0%,1.52,0%,0,0%,0%,0
Kelly,Velasco,1995,2.27,35%,5.67,47%,0,0%,100%,0
Joe,Vedepo,,1.43,42%,5.71,38%,1.07,20%,0%,0
Matt,Veach,1981,1.12,28%,4.91,44%,3.64,38%,100%,1.5
Manny,Vazquez,1993,1.47,41%,2.67,48%,1,33%,0%,1
Javier,Vazquez,1977,2.43,36%,1.99,72%,2.56,52%,57%,1.5
Yuri,Vaulin,,0,0%,0,0%,0,0%,0%,0
Billy,Vaughan,1983,0,0%,1.36,50%,0,0%,0%,0
Linton,Vassell,1983,3.39,37%,2.13,54%,2.46,50%,50%,0
Guilherme,Vasconcelos,1986,3.27,29%,4.4,70%,0,0%,0%,0
Jamie,Varner,1984,2.92,34%,2.55,58%,3.49,53%,66%,0.8
Kazula,Vargas,1985,3.65,53%,1.77,57%,0.4,25%,30%,0.4
Paul,Varelans,,0,0%,0,0%,0,0%,0%,0
Paige,VanZant,1994,3.35,52%,2.62,42%,1.27,33%,34%,1
Lando,Vannata,1992,4.52,45%,4.76,55%,1.09,37%,69%,0.3
Austin,Vanderford,1990,3.9,52%,5.19,45%,0,0%,100%,1.9
Jared,Vanderaa,1992,4.96,44%,5.67,45%,0.18,50%,20%,0
Chad,Vance,,0,0%,0,0%,0,0%,0%,0
Cameron,VanCamp,1993,5.31,47%,6.41,40%,0,0%,0%,0
Lloyd,Dams,1972,0,0%,3.01,15%,0,0%,0%,0
Ron,Clief,1943,0,0%,0,0%,0,0%,0%,0
Matt,Buren,1986,7.73,45%,6.82,49%,0,0%,50%,0
Mike,Arsdale,1965,1.52,41%,1.91,41%,1.06,14%,37%,0
Joshua,Van,2001,9.2,51%,5.93,63%,1,33%,87%,0
Isaac,Flagg,1978,5.56,47%,5.6,45%,0.2,12%,58%,0
Kevin,Vallejos,2001,4.73,44%,5.8,51%,0,0%,66%,0
Andrew,Valladerez,,0,0%,0,0%,0,0%,0%,0
Victor,Valimaki,,3.94,30%,2.99,67%,0.9,14%,0%,0
Timur,Valiev,1990,5.19,53%,3.33,45%,1.73,40%,55%,0.3
Ivan,Valenzuela,1992,0,0%,9.6,33%,0,0%,0%,0
